Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
926376321,550000000.0,Cilegon,2024-09-29T07:27:34+0000,3,1,132,90
923250237,285000000.0,Cilegon,2024-09-28T09:39:29+0000,2,1,60,60
924201858,900000000.0,Cilegon,2024-09-26T13:01:45+0000,2,1,72,72
926225018,250000000.0,Cilegon,2024-09-25T10:16:09+0000,2,1,100,100
925294804,750000000.0,Gerogol,2024-09-25T00:14:56+0000,3,2,120,120
926195427,600000000.0,Cilegon,2024-09-24T17:09:42+0000,2,2,78,78
926168836,290000000.0,Cilegon,2024-09-24T05:28:35+0000,2,1,60,45
926156009,200000000.0,Cilegon,2024-09-24T00:44:56+0000,2,1,60,36
926099675,475000000.0,Purwakarta,2024-09-22T10:34:00+0000,2,1,72,45
926077057,770000000.0,Cilegon,2024-09-21T23:14:17+0000,2,2,104,104
926065260,350000000.0,Citangkil,2024-09-21T10:58:37+0000,2,1,120,90
926048790,3100000000.0,Cilegon,2024-09-21T04:31:54+0000,3,3,250,140
926048662,975000000.0,Cilegon,2024-09-21T04:29:51+0000,3,1,210,72
926044826,165958000.0,Cilegon,2024-09-21T03:22:33+0000,2,1,64,33
926028102,800000000.0,Citangkil,2024-09-20T13:34:19+0000,10,8,228,152
919491561,450000000.0,Citangkil,2024-09-20T00:00:15+0000,3,1,304,190
925975469,430000000.0,Cilegon,2024-09-19T09:08:23+0000,2,1,70,90
925937266,425000000.0,Cilegon,2024-09-18T12:09:51+0000,2,1,88,38
924043753,950000000.0,Purwakarta,2024-09-18T04:22:36+0000,4,3,200,129
925867076,550000000.0,Cilegon,2024-09-17T02:46:54+0000,2,1,105,65
925829324,700000000.0,Citangkil,2024-09-16T02:50:30+0000,4,3,107,200
925814603,65000000.0,Cilegon,2024-09-15T12:37:19+0000,4,4,200,165
925782981,799000000.0,Cilegon Kota,2024-09-14T15:24:38+0000,4,3,200,240
925735311,1096000000.0,Cilegon,2024-09-13T12:12:36+0000,3,3,80,89
925709715,375000000.0,Citangkil,2024-09-13T03:04:35+0000,2,1,180,110
925673544,750000000.0,Cilegon,2024-09-12T05:12:30+0000,2,1,144,70
923506554,1400000000.0,Gerogol,2024-09-11T11:45:57+0000,3,2,112,116
902222595,1200000000.0,Cilegon,2024-09-10T14:06:46+0000,5,3,180,300
925587202,190000000.0,Gerogol,2024-09-10T04:22:59+0000,2,1,60,22
873227423,1495000000.0,Citangkil,2024-09-09T16:17:39+0000,7,3,500,500
925569789,625000000.0,Cilegon,2024-09-09T13:59:42+0000,2,1,90,48
925546166,250000000.0,Cilegon,2024-09-09T04:37:37+0000,2,1,60,30
925541258,350000000.0,Purwakarta,2024-09-09T03:05:48+0000,2,2,30,66
925535732,300000000.0,Purwakarta,2024-09-09T00:14:56+0000,2,1,100,85
925466171,150000000.0,Cilegon,2024-09-07T03:12:34+0000,2,1,72,45
925456249,350000000.0,Citangkil,2024-09-06T17:44:07+0000,2,2,80,65
925357869,250000000.0,Cilegon,2024-09-04T09:59:39+0000,2,1,72,60
925348002,166000000.0,Cilegon,2024-09-04T06:30:02+0000,2,1,60,27
925346404,300000000.0,Gerogol,2024-09-04T05:59:53+0000,3,2,750,750
925345749,695000000.0,Cilegon,2024-09-04T05:46:06+0000,4,2,90,150
925338750,675000000.0,Gerogol,2024-09-04T03:40:57+0000,2,1,58,112
922057453,800000000.0,Cilegon,2024-09-04T03:16:40+0000,2,3,72,300
923020809,600000000.0,Cilegon,2024-09-03T01:54:25+0000,2,1,120,40
925281826,590000000.0,Citangkil,2024-09-02T16:49:25+0000,2,2,84,84
925277527,700000000.0,Cilegon,2024-09-02T13:59:13+0000,3,3,71,68
925275005,850000000.0,Purwakarta,2024-09-02T12:45:59+0000,4,3,224,150
925249751,5000.0,Cilegon,2024-09-02T03:19:05+0000,2,1,50,40
925228899,350000000.0,Cilegon,2024-09-01T10:23:24+0000,1,1,60,22
925200041,500000000.0,Cilegon,2024-08-31T14:23:45+0000,2,1,72,40
925172509,75000000.0,Citangkil,2024-08-31T02:46:06+0000,2,1,72,45
